," Short Term Drought Blend (gridMET Drought) at Lands, 2006-12-01 to 2021-09-30"
"2014-10-07",-0.8342
"2014-10-12",-0.8967
"2014-10-17",-0.9742
"2014-10-22",-1.1012
"2014-10-27",-1.0288
"2014-11-01",0.0565
"2014-11-06",0.009
"2014-11-11",-0.2277
"2014-11-16",-0.2827
"2014-11-21",-0.2983
"2014-11-26",-0.3429
"2014-12-01",-0.8414
"2014-12-06",-0.0839
"2014-12-11",0.8288
"2014-12-16",1.2755
"2014-12-21",1.2612
"2014-12-26",1.2332
"2014-12-31",0.9289
"2015-01-05",0.2963
"2015-01-10",-0.5361
"2015-01-15",-0.6879
"2015-01-20",-0.7806
"2015-01-25",-0.8765
"2015-01-30",-1.0192
"2015-02-04",-1.1578
"2015-02-09",-0.6837
"2015-02-14",-0.7195
"2015-02-19",-0.8437
"2015-02-24",-0.7414
"2015-03-01",-0.7513
"2015-03-06",-1.0014
"2015-03-11",-1.7908
"2015-03-16",-1.8789
"2015-03-21",-1.8819
"2015-03-26",-1.8234
"2015-03-31",-1.9325
"2015-04-05",-1.9448
"2015-04-10",-1.6504
"2015-04-15",-1.5615
"2015-04-20",-1.5839
"2015-04-25",-1.2297
"2015-04-30",-1.2245
"2015-05-05",-1.1168
"2015-05-10",-1.2823
"2015-05-15",-0.9988
"2015-05-20",-0.8092
"2015-05-25",-0.8617
"2015-05-30",-0.7732
"2015-06-04",-0.6729
"2015-06-09",-0.7049
"2015-06-14",-0.8757
"2015-06-19",-0.7243
"2015-06-24",-0.541
"2015-06-29",-0.4519
"2015-07-04",-0.3908
"2015-07-09",-0.2987
"2015-07-14",-0.2678
"2015-07-19",-0.1621
"2015-07-24",-0.2099
"2015-07-29",-0.0617
"2015-08-03",-0.0084
"2015-08-08",0.0128
"2015-08-13",-0.2141
"2015-08-18",-0.206
"2015-08-23",-0.153
"2015-08-28",-0.1033
"2015-09-02",-0.1229
"2015-09-07",-0.1128
"2015-09-12",-0.1772
"2015-09-17",-0.2607
"2015-09-22",-0.3828
"2015-09-27",-0.4711
"2015-10-02",-0.1665
"2015-10-07",-0.2889
"2015-10-12",-0.3752
"2015-10-17",-0.2111
"2015-10-22",-0.3383
"2015-10-27",-0.4554
"2015-11-01",-0.617
"2015-11-06",0.1424
"2015-11-11",0.3735
"2015-11-16",0.358
"2015-11-21",0.2641
"2015-11-26",0.2591
"2015-12-01",0.1131
"2015-12-06",-0.3877
"2015-12-11",-0.5328
"2015-12-16",-0.6288
"2015-12-21",-0.1485
"2015-12-26",0.1595
"2015-12-31",-0.0265
"2016-01-05",0.1763
"2016-01-10",0.1607
"2016-01-15",0.0798
"2016-01-20",0.1904
"2016-01-25",0.1068
"2016-01-30",0.2817
"2016-02-04",0.109
"2016-02-09",-0.0747
"2016-02-14",-0.2215
"2016-02-19",-0.5848
"2016-02-24",-0.6743
"2016-02-29",-0.8593
"2016-03-05",-0.5556
"2016-03-10",-0.3749
"2016-03-15",0.0022
"2016-03-20",-0.0085
"2016-03-25",-0.1026
"2016-03-30",0.0373
"2016-04-04",-0.2399
"2016-04-09",-0.3826
"2016-04-14",-0.6304
"2016-04-19",-0.7942
"2016-04-24",-0.6062
"2016-04-29",-0.5145
"2016-05-04",-0.4646
"2016-05-09",-0.4225
"2016-05-14",-0.4815
"2016-05-19",-0.3875
