ID,Year,SurveyDate,TerritoryName,IsProtocolSurvey,ObservationID,Analysis Type,Sample Qualifier,BreedingStatus,StartTime,EndTime,CommonName,AdultCount,FledglingCount,NestlingCount,OtherCount,EggCountCode,IsTerritorialBehavior,Summary,NestCode,TerritoryNestID,varObject,VarFilter,Detection,JulianDay,Area_Type,BreedingYear,DaySinceDec15th
14145,2021,2021-03-29,Crowley Towers,TRUE,21753,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T12:27:00Z,1899-12-31T12:29:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA ad banks up to CT-1, 2nd PRFA ad banks out of CT-1, very likely nest switch and egg incubation.",CT-1,102,frmSurveyDetail,[ID] = 14145,1,88,Core,2021,105
14151,2021,2021-03-31,Drywall,TRUE,21764,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T12:10:00Z,1899-12-31T14:10:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA F ad perches on ridge up from DRY-2 area, clutching prey remains, flies to pine snag crown at NW top of Drywall, flies E, M ad banks up to snag perch, later M ad flies, F banks up to snag perch again, M ad settles to likely incubate eggs in interior",DRY-2,110,frmSurveyDetail,[ID] = 14151,1,90,Non-core,2021,107
14154,2021,2021-04-01,Citadel,TRUE,21771,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T13:02:00Z,1899-12-31T14:50:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA F ad remains in CI-1 interior, likely incubating eggs, flies out, M ad flies in to likely continue egg incubation, does not re-emerge.",CI-1,106,frmSurveyDetail,[ID] = 14154,1,91,Core,2021,108
14154,2021,2021-04-01,South Balconies,TRUE,21770,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T12:40:00Z,1899-12-31T14:50:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA F ad sits low at SGB-23, likely incubating eggs. Later F calls, flies, chases M ad to top of S. Balconies for prey exchange (1443), M ad preens, then flies, banks to SGB-23, settles to continue incubation. SGB-23 is ~15m E of SGB-21, on relatively ex",SGB-23,585,frmSurveyDetail,[ID] = 14154,1,91,Core,2021,108
14155,2021,2021-04-04,Crowley Towers,TRUE,21774,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T13:40:00Z,1899-12-31T14:15:00Z,Prairie Falcon,2,0,0,NA,NA,Yes,"PRFA ad flies out of CT-1, 2nd PRFA ad banks into site, does not re-emerge. Very likely nest switch and egg incubation.",CT-1,102,frmSurveyDetail,[ID] = 14155,1,94,Core,2021,111
14162,2021,2021-04-06,Prescribed Burn Cliffs,TRUE,21788,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T14:30:00Z,1899-12-31T15:30:00Z,Prairie Falcon,1,0,0,0,NA,Yes,"PRFA F ad emerges from PB-3, perches and scans area from entry ledge, carefully walks back into PB-3 interior, does not re-emerge. Likely incubating eggs.",PB-3,35,frmSurveyDetail,[ID] = 14162,1,96,Core,2021,113
14164,2021,2021-04-08,South Wilderness Rock,TRUE,21791,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T14:30:00Z,1899-12-31T17:42:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at S. Wild. Rock.,"NA",431,frmSurveyDetail,[ID] = 14164,0,98,Non-core,2021,115
14164,2021,2021-04-08,South Wilderness Rock,TRUE,21792,Occupancy,Yes: Raptor status confirmed,Presence,1899-12-31T14:40:00Z,1899-12-31T14:45:00Z,Prairie Falcon,1,0,0,0,NA,No,"RTHA light ad circles over S. Wild. Rock, soars SW.","NA",431,frmSurveyDetail,[ID] = 14164,1,98,Non-core,2021,115
14172,2021,2021-04-09,Resurrection Wall,TRUE,21800,Fecundity,Yes: Raptor status confirmed,Incubation,1899-12-31T16:09:00Z,1899-12-31T17:00:00Z,Prairie Falcon,1,0,0,0,NA,Yes,"PRFA ad (female?) incubating in RW-2 the entire time I was at Full Moon Party Rocks. She stood up several times, but due to heat distortion and strong winds shaking the scope, I could not get a visual of any eggs.",RW-2,181,frmSurveyDetail,[ID] = 14172,1,99,Core,2021,116
14173,2021,2021-04-13,Canyon North of Willow Springs,TRUE,21801,Occupancy,Yes: No presence/full survey,Presence,1899-12-31T12:45:00Z,1899-12-31T15:45:00Z,Prairie Falcon,0,0,0,NA,NA,No,No sign of PRFA presence / activity at Canyon N of Willow Spg.,"NA",459,frmSurveyDetail,[ID] = 14173,0,103,Non-core,2021,120
